,id,White%_tract,Black or African American%_tract,Asian%_tract,Hispanic or Latino (of any race)%_tract
0,01001020100,83.7,8.4,0.9,3.5
1,01001020200,40.4,55.7,0.9,1.8
2,01001020300,66.3,21.0,0.9,8.6
3,01001020400,88.3,7.7,0.2,2.3
4,01001020500,77.4,16.9,3.5,1.2
5,01001020600,73.6,23.7,0.0,0.7
6,01001020700,81.4,14.9,0.0,13.1
7,01001020801,87.2,10.9,0.0,0.9
8,01001020802,82.5,16.1,1.0,2.1
9,01001020900,83.6,12.8,0.4,0.5
10,01001021000,74.4,23.1,0.0,1.0
11,01001021100,46.8,51.2,0.2,1.1
12,01003010100,75.8,18.3,0.0,0.3
13,01003010200,86.6,11.4,0.0,0.0
14,01003010300,76.6,18.5,0.0,2.2
15,01003010400,87.9,8.0,0.3,3.4
16,01003010500,86.4,10.7,0.7,2.2
17,01003010600,31.9,63.6,0.0,5.1
18,01003010701,91.0,2.4,2.6,3.5
19,01003010703,85.6,8.4,2.2,1.8
20,01003010704,77.8,19.6,0.9,1.4
21,01003010705,80.3,13.8,0.4,8.2
22,01003010800,70.2,23.4,3.0,1.0
23,01003010903,80.2,15.7,0.0,1.2
24,01003010904,89.9,1.6,0.7,8.2
25,01003010905,94.8,3.4,0.0,7.1
26,01003010906,91.5,3.0,0.0,15.9
27,01003011000,83.2,3.8,0.0,15.5
28,01003011101,89.9,3.6,2.6,7.9
29,01003011102,89.9,2.2,0.3,3.8
30,01003011201,93.0,6.5,0.5,0.7
31,01003011202,73.2,26.1,0.0,1.9
32,01003011300,96.1,3.2,0.3,0.6
33,01003011401,92.0,4.4,0.6,6.9
34,01003011403,93.6,4.8,0.0,3.7
35,01003011405,96.0,0.8,0.7,0.8
36,01003011406,96.3,0.0,0.4,0.3
37,01003011407,98.3,0.0,1.7,3.4
38,01003011408,100.0,0.0,0.0,3.9
39,01003011501,86.0,10.5,1.1,4.1
40,01003011502,83.3,14.0,0.0,9.1
41,01003011601,97.2,0.9,0.1,2.3
42,01003011602,98.1,0.4,0.4,4.0
43,01005950100,52.5,47.5,0.0,0.0
44,01005950200,36.8,61.2,0.1,2.5
45,01005950300,43.8,54.7,0.0,1.7
46,01005950400,53.3,37.9,0.2,8.9
47,01005950500,69.2,22.7,1.1,7.1
48,01005950600,54.1,39.1,0.7,5.3
49,01005950700,45.6,50.9,0.0,0.0
50,01005950800,45.5,52.0,0.8,2.3
51,01005950900,28.4,63.5,0.3,5.9
52,01007010001,98.0,2.0,0.0,0.0
53,01007010002,93.6,5.5,0.0,4.0
54,01007010003,89.9,9.9,0.0,0.0
55,01007010004,52.9,45.1,0.4,3.3
56,01009050101,90.2,4.4,0.0,17.1
57,01009050102,95.2,2.8,0.5,13.3
58,01009050200,97.7,0.1,0.4,24.2
59,01009050300,95.4,0.2,0.2,16.2
60,01009050400,97.7,0.0,0.5,9.2
61,01009050500,96.6,0.4,0.2,6.6
62,01009050601,94.2,1.8,0.0,1.2
63,01009050602,96.0,1.8,0.4,1.6
64,01009050700,97.7,0.4,0.7,2.4
65,01011952100,3.2,96.8,0.0,0.0
66,01011952200,18.5,80.5,1.0,0.6
67,01011952500,39.5,56.4,0.0,0.5
68,01013952700,61.2,37.7,0.4,0.0
69,01013952800,69.6,25.9,0.0,0.0
70,01013952900,41.9,50.7,5.1,1.2
71,01013953000,56.1,36.4,4.9,0.8
72,01013953100,15.6,82.7,0.0,0.0
73,01013953200,61.5,37.5,0.0,0.3
74,01013953300,89.6,7.7,0.0,0.9
75,01013953400,39.7,59.4,0.9,0.0
76,01013953500,72.2,26.1,0.0,0.0
77,01015000200,43.0,55.1,0.7,0.9
78,01015000300,18.9,81.1,0.0,0.6
79,01015000400,26.2,71.8,0.6,0.8
80,01015000500,4.8,88.2,0.0,4.4
81,01015000600,20.2,68.2,0.0,0.5
82,01015000700,49.0,38.7,1.2,4.6
