,FIPS,Name,county
0,02000,AK,
1,02013,"AK, Aleutians East", Aleutians East
2,02016,"AK, Aleutians West", Aleutians West
3,02020,"AK, Anchorage", Anchorage
4,02050,"AK, Bethel", Bethel
5,02060,"AK, Bristol Bay", Bristol Bay
6,02068,"AK, Denali", Denali
7,02070,"AK, Dillingham", Dillingham
8,02090,"AK, Fairbanks North Star", Fairbanks North Star
9,02100,"AK, Haines", Haines
10,02110,"AK, Juneau", Juneau
11,02122,"AK, Kenai Peninsula", Kenai Peninsula
12,02130,"AK, Ketchikan Gateway", Ketchikan Gateway
13,02150,"AK, Kodiak Island", Kodiak Island
14,02164,"AK, Lake and Peninsula", Lake and Peninsula
15,02170,"AK, Matanuska-Susitna", Matanuska-Susitna
16,02180,"AK, Nome", Nome
17,02185,"AK, North Slope", North Slope
18,02188,"AK, Northwest Arctic", Northwest Arctic
19,02201,"AK, Prince of Wales-Outer Ketchikan", Prince of Wales-Outer Ketchikan
20,02220,"AK, Sitka", Sitka
21,02232,"AK, Skagway-Hoonah-Angoon", Skagway-Hoonah-Angoon
22,02240,"AK, Southeast Fairbanks", Southeast Fairbanks
23,02261,"AK, Valdez-Cordova", Valdez-Cordova
24,02270,"AK, Wade Hampton", Wade Hampton
25,02280,"AK, Wrangell-Petersburg", Wrangell-Petersburg
26,02282,"AK, Yakutat", Yakutat
27,02290,"AK, Yukon-Koyukuk", Yukon-Koyukuk
28,01000,AL,
29,01001,"AL, Autauga", Autauga
30,01003,"AL, Baldwin", Baldwin
31,01005,"AL, Barbour", Barbour
32,01007,"AL, Bibb", Bibb
33,01009,"AL, Blount", Blount
34,01011,"AL, Bullock", Bullock
35,01013,"AL, Butler", Butler
36,01015,"AL, Calhoun", Calhoun
37,01017,"AL, Chambers", Chambers
38,01019,"AL, Cherokee", Cherokee
39,01021,"AL, Chilton", Chilton
40,01023,"AL, Choctaw", Choctaw
41,01025,"AL, Clarke", Clarke
42,01027,"AL, Clay", Clay
43,01029,"AL, Cleburne", Cleburne
44,01031,"AL, Coffee", Coffee
45,01033,"AL, Colbert", Colbert
46,01035,"AL, Conecuh", Conecuh
47,01037,"AL, Coosa", Coosa
48,01039,"AL, Covington", Covington
49,01041,"AL, Crenshaw", Crenshaw
50,01043,"AL, Cullman", Cullman
51,01045,"AL, Dale", Dale
52,01047,"AL, Dallas", Dallas
53,01049,"AL, De Kalb", De Kalb
54,01051,"AL, Elmore", Elmore
55,01053,"AL, Escambia", Escambia
56,01055,"AL, Etowah", Etowah
57,01057,"AL, Fayette", Fayette
58,01059,"AL, Franklin", Franklin
59,01061,"AL, Geneva", Geneva
60,01063,"AL, Greene", Greene
61,01065,"AL, Hale", Hale
62,01067,"AL, Henry", Henry
63,01069,"AL, Houston", Houston
64,01071,"AL, Jackson", Jackson
65,01073,"AL, Jefferson", Jefferson
66,01075,"AL, Lamar", Lamar
67,01077,"AL, Lauderdale", Lauderdale
68,01079,"AL, Lawrence", Lawrence
69,01081,"AL, Lee", Lee
70,01083,"AL, Limestone", Limestone
71,01085,"AL, Lowndes", Lowndes
72,01087,"AL, Macon", Macon
73,01089,"AL, Madison", Madison
74,01091,"AL, Marengo", Marengo
75,01093,"AL, Marion", Marion
76,01095,"AL, Marshall", Marshall
77,01097,"AL, Mobile", Mobile
78,01099,"AL, Monroe", Monroe
79,01101,"AL, Montgomery", Montgomery
80,01103,"AL, Morgan", Morgan
81,01105,"AL, Perry", Perry
82,01107,"AL, Pickens", Pickens
83,01109,"AL, Pike", Pike
84,01111,"AL, Randolph", Randolph
85,01113,"AL, Russell", Russell
86,01117,"AL, Shelby", Shelby
87,01115,"AL, St. Clair", St. Clair
88,01119,"AL, Sumter", Sumter
89,01121,"AL, Talladega", Talladega
90,01123,"AL, Tallapoosa", Tallapoosa
91,01125,"AL, Tuscaloosa", Tuscaloosa
92,01127,"AL, Walker", Walker
93,01129,"AL, Washington", Washington
94,01131,"AL, Wilcox", Wilcox
95,01133,"AL, Winston", Winston
96,05000,AR,
97,05001,"AR, Arkansas", Arkansas
98,05003,"AR, Ashley", Ashley
99,05005,"AR, Baxter", Baxter
100,05007,"AR, Benton", Benton
101,05009,"AR, Boone", Boone
102,05011,"AR, Bradley", Bradley
103,05013,"AR, Calhoun", Calhoun
104,05015,"AR, Carroll", Carroll
105,05017,"AR, Chicot", Chicot
106,05019,"AR, Clark", Clark
